query-1: Cantidad total de dinero abonado por clientes que han adquirido el “1940 Ford Pickup Truck”
 customernumber |          customername          | total_paid 
----------------+--------------------------------+------------
            141 | Euro+ Shopping Channel         |  820689.54
            124 | Mini Gifts Distributors Ltd.   |  591827.34
            114 | Australian Collectors, Co.     |  180585.07
            148 | Dragon Souveniers, Ltd.        |  156251.03
            276 | Annas Decorations, Ltd         |  137034.22
            282 | Souveniers And Things Co.      |  133907.12
            321 | Corporate Gift Ideas Co.       |  132340.78
            146 | Saveley & Henriot, Co.         |  130305.35
            448 | Scandinavian Gift Ideas        |  120943.53
            363 | Online Diecast Creations Co.   |  116449.29
            458 | Corrida Auto Replicas, Ltd     |  112440.09
            398 | Tokyo Collectables, Ltd        |  105548.73
            161 | Technics Stores Inc.           |  104545.22
            121 | Baane Mini Imports             |  104224.79
            249 | Amica Models & Co.             |   82223.23
            455 | Super Scale Inc.               |   70378.65
            202 | Canadian Gift Exchange Network |   70122.19
            233 | Qu�bec Home Shopping Network |   68977.67
            129 | Mini Wheels Co.                |   66710.56
            256 | Auto Associ�s & Cie.         |   58876.41
            339 | Classic Gift Ideas, Inc        |   57939.34
            333 | Australian Gift Network, Co    |   55190.16
            452 | Mini Auto Werke                |   51059.99
            475 | West Coast Collectables Co.    |   43748.72
            173 | Cambridge Collectables Co.     |   32198.69
(25 filas)

