query6: Parejas de productos que aparecen en más de un carro
   pr_1    |   pr_2    | sum_carros 
-----------+-----------+------------
 S10_2016  | S10_1678  |         40
 S10_4698  | S10_1678  |         44
 S10_4698  | S10_2016  |         48
 S10_4962  | S10_1949  |         30
 S12_1099  | S10_1678  |         12
 S12_1099  | S10_2016  |          6
 S12_1099  | S10_4698  |          6
 S12_1108  | S10_4757  |          8
 S12_1666  | S10_1949  |         42
 S12_1666  | S10_4962  |         40
 S12_2823  | S10_1678  |         44
 S12_2823  | S10_2016  |         28
 S12_2823  | S10_4698  |         36
 S12_2823  | S12_1099  |         16
 S12_3148  | S12_1108  |         42
 S12_3380  | S10_1678  |          6
 S12_3380  | S10_2016  |          4
 S12_3380  | S10_4698  |          4
 S12_3380  | S12_1099  |         46
 S12_3380  | S12_2823  |          8
 S12_3891  | S10_4757  |          6
 S12_3891  | S12_1108  |         48
 S12_3891  | S12_3148  |         42
 S12_3990  | S10_1678  |         10
 S12_3990  | S10_2016  |          6
 S12_3990  | S10_4698  |          6
 S12_3990  | S12_1099  |         52
 S12_3990  | S12_2823  |         14
 S12_3990  | S12_3380  |         46
 S12_4473  | S10_4962  |         14
 S12_4473  | S12_1108  |         12
 S12_4473  | S12_1666  |          4
 S12_4473  | S12_3148  |         18
 S12_4473  | S12_3891  |         12
 S12_4675  | S10_1678  |          6
 S12_4675  | S10_2016  |          4
 S12_4675  | S10_4698  |          4
 S12_4675  | S12_1099  |         36
 S12_4675  | S12_2823  |          6
 S12_4675  | S12_3380  |         42
 S12_4675  | S12_3990  |         38
 S18_1097  | S10_1949  |         50
 S18_1097  | S10_4962  |         34
 S18_1097  | S12_1666  |         48
 S18_1129  | S12_1099  |         16
 S18_1129  | S12_3380  |         18
 S18_1129  | S12_3990  |         18
 S18_1129  | S12_4675  |         24
 S18_1342  | S10_1949  |         14
 S18_1342  | S10_4962  |          4
 S18_1342  | S12_1666  |          6
 S18_1342  | S18_1097  |         12
 S18_1342  | S18_1129  |          2
 S18_1367  | S10_1949  |         20
 S18_1367  | S10_4962  |         10
 S18_1367  | S12_1666  |         12
 S18_1367  | S18_1097  |         18
 S18_1367  | S18_1129  |          2
 S18_1367  | S18_1342  |         50
 S18_1589  | S12_1099  |          8
 S18_1589  | S12_3380  |         10
 S18_1589  | S12_3990  |          8
 S18_1589  | S12_4675  |         14
 S18_1589  | S18_1129  |         26
 S18_1662  | S10_2016  |          2
 S18_1662  | S10_4698  |          2
 S18_1662  | S10_4757  |         24
 S18_1749  | S10_1949  |          4
 S18_1749  | S18_1097  |          4
 S18_1749  | S18_1129  |          4
 S18_1749  | S18_1342  |         18
 S18_1749  | S18_1367  |         18
 S18_1749  | S18_1589  |         14
 S18_1889  | S10_1678  |          4
 S18_1889  | S10_2016  |          4
